Ticker,Setup Type,Date,Price,Change %,Volume,Avg Volume 20D,RSI,Prior RSI High,MA20,MA40,Distance to MA20 %,Red Candles,Near Support,Support Level,Distance to Support %,Range Position %,Hammer,Prior Support Hammers,Pattern Score,Refinement Score,Total Score,MACD Reversal,ADX Rising,RSI In Pullback Zone,Notes
PHUN,Uptrend Pullback,2026-08-07,2.13,2.9,237538,105991,47.46,72.73,2.16,2.07,-1.27,3,False,2.0,6.5,44.83,False,1,60,,60,,,,Uptrend Pullback; 20 MA above 40 MA with rising slopes; Price between 20 and 40 MA; 3 recent red candles; RSI was elevated before pullback; 1 prior hammer(s) at support
PK,Uptrend Pullback,2026-08-07,14.76,0.82,6809131,4322374,48.63,69.43,14.84,14.54,-0.54,7,False,14.05,5.05,49.65,False,1,60,,60,,,,Uptrend Pullback; 20 MA above 40 MA with rising slopes; Price between 20 and 40 MA; 7 recent red candles; RSI was elevated before pullback; 1 prior hammer(s) at support
AKR,Sideways Support,2026-08-07,20.65,-0.63,1269133,1428200,30.07,88.51,21.97,21.66,-6.0,8,True,20.5,0.73,5.93,False,0,60,,60,,,,Sideways Support; Sideways MA compression; Price in lower third of recent range; 8 recent red candles; RSI was elevated before pullback; Near recent support
AM,Sideways Support,2026-08-07,21.27,-0.56,3464029,2294236,34.97,59.76,22.02,21.99,-3.43,4,True,21.09,0.85,8.91,False,0,60,,60,,,,Sideways Support; Sideways MA compression; Price in lower third of recent range; 4 recent red candles; RSI was elevated before pullback; Near recent support
BGC,Sideways Support,2026-08-07,10.35,-1.43,1789958,2450946,32.5,80.27,11.31,11.39,-8.48,7,True,10.27,0.78,4.44,False,0,60,,60,,,,Sideways Support; Sideways MA compression; Price in lower third of recent range; 7 recent red candles; RSI was elevated before pullback; Near recent support
BRY,Sideways Support,2025-12-18,3.26,0.0,0,621649,39.34,60.0,3.35,3.35,-2.66,3,True,3.19,2.19,22.58,False,0,60,,60,,,,Sideways Support; Sideways MA compression; Price in lower third of recent range; 3 recent red candles; RSI was elevated before pullback; Near recent support
CMRE,Sideways Support,2026-08-07,14.66,-1.61,326927,376668,47.73,70.29,15.23,15.05,-3.76,5,True,14.55,0.76,7.43,False,0,60,,60,,,,Sideways Support; Sideways MA compression; Price in lower third of recent range; 5 recent red candles; RSI was elevated before pullback; Near recent support
COLB,Sideways Support,2026-08-07,31.24,0.97,2881825,3007827,33.82,63.95,31.89,31.7,-2.02,4,True,30.75,1.59,16.78,False,0,60,,60,,,,Sideways Support; Sideways MA compression; Price near 20 MA; Price in lower third of recent range; 4 recent red candles; RSI was elevated before pullback; Near recent support
CRGX,Sideways Support,2025-08-19,4.47,0.0,0,1726197,50.0,65.85,4.48,4.46,-0.28,3,True,4.45,0.45,16.67,False,0,60,,60,,,,Sideways Support; Sideways MA compression; Price between 20 and 40 MA; Price in lower third of recent range; 3 recent red candles; RSI was elevated before pullback; Near recent support
ELAN,Sideways Support,2026-08-07,22.12,-9.27,22076817,6931948,31.81,74.74,25.38,24.86,-12.86,7,True,22.02,0.45,1.68,False,0,60,,60,,,,Sideways Support; Sideways MA compression; Price in lower third of recent range; 7 recent red candles; RSI was elevated before pullback; Near recent support
GDOT,Sideways Support,2026-08-07,13.15,-2.01,247484,334548,44.22,66.01,13.3,13.25,-1.15,4,True,12.95,1.54,25.64,False,0,60,,60,,,,Sideways Support; Sideways MA compression; Price near 20 MA; Price in lower third of recent range; 4 recent red candles; RSI was elevated before pullback; Near recent support
INTR,Sideways Support,2026-08-07,5.27,-9.29,10938696,4785399,40.64,64.34,5.57,5.56,-5.34,4,True,5.22,0.96,7.81,False,0,60,,60,,,,Sideways Support; Sideways MA compression; Price in lower third of recent range; 4 recent red candles; RSI was elevated before pullback; Near recent support
KIM,Sideways Support,2026-08-07,24.46,0.29,3369147,4621071,24.92,68.15,25.58,25.4,-4.36,8,True,24.18,1.16,11.38,False,0,60,,60,,,,Sideways Support; Sideways MA compression; Price in lower third of recent range; 8 recent red candles; RSI was elevated before pullback; Near recent support
KKRS,Sideways Support,2026-08-07,15.96,-0.99,20124,32886,30.67,59.62,16.21,16.23,-1.53,5,True,15.96,0.0,0.0,False,0,60,,60,,,,Sideways Support; Sideways MA compression; Price near 20 MA; Price in lower third of recent range; 5 recent red candles; RSI was elevated before pullback; Near recent support
KMI,Sideways Support,2026-08-07,30.85,-0.68,8187404,10090832,33.1,67.06,31.77,31.78,-2.9,6,True,30.68,0.55,7.49,False,0,60,,60,,,,Sideways Support; Sideways MA compression; Price in lower third of recent range; 6 recent red candles; RSI was elevated before pullback; Near recent support
KMT,Sideways Support,2026-08-07,33.13,-3.58,1326627,1207460,46.95,70.49,34.44,34.62,-3.81,3,True,32.12,3.14,11.22,False,0,60,,60,,,,Sideways Support; Sideways MA compression; Price in lower third of recent range; 3 recent red candles; RSI was elevated before pullback; Near recent support
MANU,Sideways Support,2026-08-07,21.63,-1.23,229017,211200,44.13,74.52,22.5,22.47,-3.87,5,True,21.57,0.28,2.63,False,0,60,,60,,,,Sideways Support; Sideways MA compression; Price in lower third of recent range; 5 recent red candles; RSI was elevated before pullback; Near recent support
MOMO,Sideways Support,2026-08-07,5.86,0.51,355338,473372,39.06,76.82,5.96,5.85,-1.63,3,True,5.73,2.27,27.08,False,0,60,,60,,,,Sideways Support; Sideways MA compression; Price between 20 and 40 MA; Price in lower third of recent range; 3 recent red candles; RSI was elevated before pullback; Near recent support
NMRK,Sideways Support,2026-08-07,14.81,2.92,1324888,1402001,43.59,63.17,15.37,15.28,-3.64,5,True,14.39,2.92,21.43,False,0,60,,60,,,,Sideways Support; Sideways MA compression; Price in lower third of recent range; 5 recent red candles; RSI was elevated before pullback; Near recent support
NTST,Sideways Support,2026-08-07,20.69,-1.62,1503403,1301972,31.14,77.25,21.61,21.17,-4.24,6,True,20.64,0.24,2.73,False,0,60,,60,,,,Sideways Support; Sideways MA compression; Price in lower third of recent range; 6 recent red candles; RSI was elevated before pullback; Near recent support
SHO,Sideways Support,2026-08-07,11.08,-1.6,3020913,2399895,25.52,73.33,11.62,11.56,-4.66,5,True,11.07,0.09,1.14,False,0,60,,60,,,,Sideways Support; Sideways MA compression; Price in lower third of recent range; 5 recent red candles; RSI was elevated before pullback; Near recent support
SOJE,Sideways Support,2026-08-07,16.39,-0.3,49722,54978,28.92,61.04,16.59,16.63,-1.2,4,True,16.35,0.24,8.51,False,0,60,,60,,,,Sideways Support; Sideways MA compression; Price near 20 MA; Price in lower third of recent range; 4 recent red candles; RSI was elevated before pullback; Near recent support
SREA,Sideways Support,2026-08-07,20.65,-0.72,35169,59243,17.27,77.57,21.13,21.09,-2.27,7,True,20.61,0.19,4.55,False,0,60,,60,,,,Sideways Support; Sideways MA compression; Price near 20 MA; Price in lower third of recent range; 7 recent red candles; RSI was elevated before pullback; Near recent support
STER,Sideways Support,2024-10-31,16.74,0.0,0,759593,49.43,86.08,16.92,16.75,-1.08,6,True,16.36,2.32,22.62,False,0,60,,60,,,,Sideways Support; Sideways MA compression; Price near 20 MA; Price in lower third of recent range; 6 recent red candles; RSI was elevated before pullback; Near recent support
TBB,Sideways Support,2026-08-07,19.77,-0.25,68832,121294,24.76,59.78,20.03,20.15,-1.29,6,True,19.76,0.05,1.39,False,0,60,,60,,,,Sideways Support; Sideways MA compression; Price near 20 MA; Price in lower third of recent range; 6 recent red candles; RSI was elevated before pullback; Near recent support
TGS,Sideways Support,2026-08-07,28.79,-0.9,186945,196562,42.43,70.45,30.44,30.46,-5.4,5,True,28.64,0.52,4.14,False,0,60,,60,,,,Sideways Support; Sideways MA compression; Price in lower third of recent range; 5 recent red candles; RSI was elevated before pullback; Near recent support
UGI,Sideways Support,2026-08-07,34.18,0.26,1297041,1249405,22.93,80.2,36.3,35.54,-5.84,5,True,34.05,0.38,3.64,False,0,60,,60,,,,Sideways Support; Sideways MA compression; Price in lower third of recent range; 5 recent red candles; RSI was elevated before pullback; Near recent support
ACVA,Uptrend Pullback,2026-08-07,7.46,-0.4,3722753,2884562,50.76,70.38,7.65,7.2,-2.55,4,False,6.62,12.69,47.73,False,0,55,,55,,,,Uptrend Pullback; 20 MA above 40 MA with rising slopes; Price between 20 and 40 MA; 4 recent red candles; RSI was elevated before pullback
AMRX,Uptrend Pullback,2026-08-07,18.14,-0.06,1089967,1882354,57.02,70.97,18.05,17.42,0.51,4,False,16.58,9.41,58.21,False,0,55,,55,,,,Uptrend Pullback; 20 MA above 40 MA with rising slopes; Price between 20 and 40 MA; 4 recent red candles; RSI was elevated before pullback
